iter	Passed	Remaining
0	61	61020
1	61	30641
2	61	20562
3	62	15566
4	62	12513
5	63	10482
6	63	9033
7	64	7955
8	64	7111
9	64	6434
10	65	5878
11	65	5415
12	66	5018
13	66	4681
14	66	4391
15	67	4132
16	67	3906
17	67	3706
18	68	3524
19	68	3362
20	69	3219
21	69	3087
22	69	2966
23	70	2856
24	70	2753
25	70	2657
26	71	2570
27	71	2487
28	72	2413
29	72	2340
30	72	2272
31	73	2212
32	73	2154
33	73	2101
34	74	2050
35	74	2001
36	75	1956
37	75	1912
38	75	1871
39	76	1831
40	76	1793
41	77	1758
42	77	1724
43	77	1690
44	78	1659
45	78	1628
46	78	1600
47	79	1572
48	79	1546
49	80	1522
50	80	1499
51	80	1475
52	81	1453
53	81	1431
54	82	1410
55	82	1390
56	82	1370
57	83	1351
58	83	1334
59	83	1315
60	84	1298
61	84	1282
62	85	1266
63	85	1250
64	85	1235
65	86	1221
66	86	1206
67	86	1189
68	87	1176
69	87	1163
70	87	1151
71	88	1138
72	88	1126
73	89	1114
74	89	1103
75	89	1092
76	90	1081
77	90	1070
78	90	1060
79	91	1048
80	91	1038
81	91	1028
82	92	1019
83	92	1010
84	92	1000
85	93	992
86	93	981
87	93	973
88	94	965
89	94	957
90	95	949
91	95	942
92	95	934
93	96	927
94	96	919
95	96	912
96	97	905
97	97	898
98	97	891
99	98	885
100	98	878
101	98	870
102	99	864
103	99	858
104	100	852
105	100	847
106	100	841
107	101	835
108	101	830
109	102	825
110	102	820
111	102	815
112	103	811
113	103	805
114	104	800
115	104	795
116	104	790
117	105	785
118	105	780
119	105	775
120	106	771
121	106	767
122	106	761
123	107	757
124	107	752
125	107	748
126	108	744
127	108	739
128	108	735
129	109	731
130	109	727
131	110	724
132	110	720
133	110	716
134	111	713
135	111	709
136	112	706
137	112	702
138	112	698
139	113	695
140	113	691
141	113	688
142	114	685
143	114	682
144	115	678
145	115	675
146	115	673
147	116	670
148	116	667
149	117	664
150	117	661
151	118	659
152	118	656
153	118	653
154	119	650
155	119	647
156	120	645
157	120	643
158	121	640
159	121	637
160	121	635
161	122	632
162	122	629
163	122	626
164	123	624
165	123	621
166	124	619
167	124	616
168	124	613
169	125	611
170	125	609
171	126	606
172	126	604
173	126	601
174	127	599
175	127	596
176	127	594
177	128	592
178	128	590
179	129	588
180	129	584
181	129	582
182	130	580
183	130	578
184	130	576
185	131	573
186	131	571
187	131	569
188	132	567
189	132	565
190	133	563
191	133	562
192	133	560
193	134	557
194	134	556
195	135	554
196	135	552
197	135	550
198	136	548
199	136	546
200	137	544
201	137	543
202	137	541
203	138	539
204	138	537
205	139	536
206	139	534
207	140	533
208	140	531
209	140	529
210	141	528
211	141	526
212	142	524
213	142	523
214	142	521
215	143	519
216	143	518
217	143	516
218	144	514
219	144	512
220	145	511
221	145	509
222	145	507
223	146	506
224	146	504
225	146	503
226	147	501
227	147	500
228	148	499
229	148	497
230	148	495
231	149	493
232	149	492
233	149	490
234	150	489
235	150	487
236	151	486
237	151	484
238	151	483
239	152	482
240	152	480
241	153	479
242	153	478
243	153	476
244	154	475
245	154	474
246	155	472
247	156	473
248	156	472
249	156	470
250	157	469
251	157	468
252	158	467
253	158	465
254	158	464
255	159	463
256	159	461
257	159	460
258	160	458
259	160	457
260	161	456
261	161	455
262	162	454
263	162	453
264	163	452
265	163	450
266	163	449
267	164	448
268	164	447
269	165	446
270	165	444
271	165	443
272	165	441
273	166	440
274	166	439
275	166	437
276	167	436
277	167	435
278	167	433
279	168	432
280	168	431
281	168	429
282	169	428
283	169	427
284	169	426
285	170	425
286	170	423
287	170	422
288	171	421
289	171	419
290	171	418
291	172	417
292	172	416
293	172	415
294	173	414
295	173	413
296	174	411
297	174	410
298	174	409
299	175	408
300	175	407
301	175	406
302	176	404
303	176	403
304	176	402
305	177	401
306	177	400
307	177	399
308	178	398
309	179	399
310	179	398
311	180	397
312	180	395
313	180	394
314	181	393
315	181	392
316	181	391
317	182	390
318	182	389
319	182	388
320	183	387
321	183	386
322	183	385
323	184	384
324	184	383
325	184	382
326	185	381
327	185	380
328	185	379
329	186	378
330	186	377
331	187	376
332	187	375
333	187	374
334	188	373
335	188	373
336	189	372
337	189	371
338	190	370
339	190	369
340	190	369
341	191	368
342	191	367
343	192	366
344	192	365
345	192	364
346	193	363
347	193	363
348	194	362
349	194	361
350	195	361
351	195	360
352	196	359
