iter	Passed	Remaining
0	57	57204
1	57	28773
2	58	19367
3	58	14615
4	59	11768
5	59	9872
6	60	8585
7	60	7558
8	61	6752
9	61	6111
10	62	5586
11	62	5151
12	62	4781
13	63	4463
14	63	4187
15	64	3946
16	64	3732
17	64	3544
18	65	3375
19	65	3223
20	66	3084
21	66	2959
22	66	2844
23	67	2740
24	67	2644
25	68	2557
26	68	2475
27	69	2397
28	69	2325
29	69	2259
30	70	2196
31	70	2139
32	71	2084
33	71	2033
34	71	1983
35	72	1937
36	72	1894
37	73	1853
38	73	1812
39	73	1775
40	74	1739
41	74	1705
42	75	1673
43	75	1643
44	76	1614
45	76	1585
46	76	1557
47	77	1530
48	77	1505
49	77	1480
50	78	1458
51	78	1435
52	79	1413
53	79	1392
54	79	1372
55	80	1352
56	80	1334
57	81	1316
58	81	1299
59	81	1281
60	82	1265
61	82	1249
62	82	1234
63	83	1220
64	83	1206
65	84	1191
66	84	1176
67	84	1162
68	85	1151
69	85	1139
70	86	1127
71	86	1116
72	86	1104
73	87	1092
74	87	1081
75	88	1072
76	88	1061
77	89	1052
78	89	1042
79	89	1033
80	90	1025
81	90	1015
82	90	1003
83	91	995
84	91	986
85	92	978
86	92	969
87	92	961
88	93	953
89	93	946
90	93	938
91	94	931
92	94	924
93	95	917
94	95	910
95	96	904
96	96	897
97	96	890
98	97	884
99	97	877
100	97	871
101	98	865
102	98	859
103	99	854
104	99	848
105	99	842
106	100	836
107	100	831
108	101	825
109	101	820
110	101	815
111	102	810
112	102	805
113	102	800
114	103	795
115	103	789
116	103	784
117	104	779
118	104	774
119	104	769
120	105	764
121	105	759
122	106	755
123	106	751
124	106	747
125	107	743
126	107	739
127	108	735
128	108	732
129	108	729
130	109	725
131	109	721
132	110	717
133	110	714
134	110	710
135	111	707
136	111	704
137	112	701
138	112	697
139	113	694
140	113	692
141	114	689
142	114	686
143	114	682
144	115	679
145	115	676
146	116	673
147	116	670
148	116	667
149	117	665
150	117	662
151	118	659
152	118	656
153	119	653
154	119	650
155	119	648
156	120	645
157	120	643
158	121	641
159	121	638
160	121	635
161	122	632
162	122	629
163	123	627
164	124	628
165	124	625
166	124	623
167	125	620
168	125	617
169	126	615
170	126	613
171	126	611
172	127	609
173	127	607
174	128	605
175	128	602
176	129	600
177	129	598
178	129	595
179	130	593
180	130	591
181	131	589
182	131	586
183	131	584
184	132	582
185	132	580
186	132	578
187	133	576
188	133	574
189	134	571
190	134	570
191	135	568
192	135	566
193	135	564
194	136	562
195	136	561
196	137	559
197	137	557
198	138	556
199	138	554
200	139	552
201	139	550
202	139	548
203	140	547
204	140	545
205	141	543
206	141	542
207	141	540
208	142	538
209	142	536
210	143	535
211	143	533
212	143	532
213	144	530
214	144	528
215	145	527
216	145	525
217	145	523
218	146	521
219	146	519
220	147	518
221	147	516
222	147	514
223	148	512
224	148	511
225	148	509
226	149	508
227	149	506
228	150	505
229	150	503
230	150	502
231	151	500
232	151	499
233	152	498
234	152	496
235	152	494
236	153	493
237	153	492
238	154	490
239	154	489
240	154	488
241	155	486
242	155	485
243	156	483
244	156	482
245	156	480
246	157	479
247	157	478
248	158	476
249	158	475
250	158	474
251	159	472
252	159	471
253	160	470
254	160	469
255	160	467
256	161	466
257	161	465
258	162	464
259	162	462
260	163	461
261	163	460
262	163	459
263	164	457
264	164	456
265	164	455
266	165	454
267	165	452
268	166	451
269	166	450
270	166	449
271	167	447
272	167	446
273	168	445
274	168	444
275	169	443
276	169	442
277	169	440
278	170	439
279	170	438
280	170	437
281	171	436
282	171	435
283	172	433
284	172	432
285	172	431
286	173	430
287	173	429
288	173	427
289	174	427
290	174	426
291	175	425
292	175	423
293	176	423
294	176	421
295	176	420
296	177	419
297	177	418
298	178	417
299	178	416
300	178	415
301	179	414
302	179	413
303	179	411
304	180	410
305	180	409
306	181	408
307	181	407
308	181	406
309	182	405
310	182	404
311	183	403
312	183	402
313	183	401
314	184	400
315	184	399
316	184	398
317	185	397
318	185	395
319	185	394
320	186	393
321	186	392
322	186	391
323	187	390
324	187	389
325	187	388
326	188	387
327	188	386
328	188	385
329	189	384
330	189	383
331	189	382
332	190	381
333	190	380
334	191	379
335	191	378
336	192	377
337	192	376
338	192	376
339	193	375
340	193	374
341	194	373
342	194	372
343	194	371
344	195	370
345	195	369
346	196	369
347	196	368
348	196	367
349	197	366
350	197	365
351	198	364
352	198	363
353	199	363
354	199	362
355	199	361
356	200	360
357	200	359
358	200	358
359	201	357
360	201	356
361	201	355
362	202	354
363	202	353
364	202	352
365	203	352
366	203	351
367	204	350
368	204	349
369	204	348
370	205	347
371	205	347
372	205	346
373	206	345
374	206	344
375	207	343
376	207	342
377	207	342
378	208	341
379	208	340
380	209	339
381	209	338
382	209	337
383	209	336
384	210	336
385	210	335
386	211	334
387	211	333
388	211	332
389	212	331
390	212	330
391	212	329
392	213	329
393	213	328
394	213	327
395	214	326
396	214	325
397	214	324
398	214	323
399	215	322
400	215	322
401	215	321
402	216	320
403	216	319
404	216	318
405	217	317
406	217	316
407	217	316
408	218	315
409	218	314
410	218	313
411	219	312
412	219	311
413	219	311
414	220	310
415	220	309
416	220	308
417	221	307
418	221	306
419	221	306
420	222	305
421	222	304
422	222	303
423	223	303
424	223	302
425	223	301
426	224	300
427	224	299
428	224	299
429	225	298
430	225	297
431	225	296
432	225	295
433	226	295
434	226	294
435	226	293
436	227	292
437	227	292
438	227	291
439	228	290
440	228	289
441	228	288
442	229	288
443	229	287
444	229	286
445	230	285
446	230	285
447	230	284
448	231	283
449	231	282
450	231	282
451	232	281
452	232	280
453	232	279
454	233	279
455	233	278
456	233	278
457	234	277
458	234	276
459	235	276
460	235	275
461	235	274
462	236	274
463	236	273
464	236	272
465	237	271
466	237	271
467	237	270
468	238	269
469	238	269
470	238	268
471	239	267
472	239	267
473	240	266
474	240	265
475	240	265
476	241	264
477	241	263
478	241	262
479	242	262
480	242	261
481	242	260
482	243	260
483	243	259
484	243	258
485	244	258
486	244	257
487	244	256
488	245	256
489	245	255
490	245	254
491	246	254
492	246	253
493	246	252
494	247	252
495	247	251
496	247	250
497	248	250
498	248	249
499	248	248
500	249	248
501	249	247
502	249	246
503	250	246
504	250	245
505	250	245
506	251	244
507	251	243
508	251	243
509	252	242
510	252	241
511	252	241
512	253	240
513	253	239
514	253	238
515	254	238
516	254	237
517	254	237
518	255	236
519	255	235
520	255	235
521	255	234
522	256	233
523	256	233
524	256	232
525	257	231
526	257	231
527	257	230
528	259	231
529	261	232
530	262	232
531	263	231
532	264	231
533	265	231
534	266	231
535	266	231
536	267	230
537	268	230
538	269	230
539	269	229
540	270	229
541	271	229
542	272	229
543	273	228
544	274	229
545	275	228
546	276	228
547	276	228
548	277	227
549	278	227
550	278	227
551	279	226
552	280	226
553	280	226
554	281	225
555	282	225
556	283	225
557	284	225
558	284	224
559	285	224
560	286	224
561	286	223
562	287	223
563	288	222
564	288	222
565	289	221
566	289	221
567	290	220
568	290	220
569	292	220
570	292	219
571	293	219
572	294	219
573	295	219
574	295	218
575	296	218
576	298	218
577	299	218
578	300	218
579	301	218
580	302	218
581	304	218
582	304	217
583	305	217
584	305	216
585	306	216
586	307	216
587	307	215
588	308	215
589	308	214
590	309	213
591	309	213
592	310	212
593	310	212
594	311	212
595	312	211
596	312	211
597	313	210
598	314	210
599	314	209
600	316	210
601	317	209
602	320	210
603	320	210
604	321	209
605	321	209
606	322	208
607	322	208
608	323	207
609	323	207
610	324	206
611	324	205
612	325	205
613	325	204
614	326	204
615	327	204
616	328	203
617	328	203
618	329	202
619	329	202
620	330	201
621	331	201
622	332	201
623	334	201
624	334	200
625	335	200
626	336	200
627	337	199
628	338	199
629	339	199
630	340	198
631	340	198
632	342	198
633	343	198
634	344	198
635	345	197
636	346	197
637	346	196
638	347	196
639	347	195
640	348	195
641	348	194
642	349	193
643	349	193
644	350	192
645	350	192
646	351	191
647	351	191
648	352	190
649	353	190
650	353	189
651	354	188
652	354	188
653	354	187
654	355	187
655	356	187
656	357	186
657	357	186
658	358	185
659	359	185
660	360	184
661	360	184
662	361	183
663	361	182
664	361	182
665	362	181
666	362	181
667	363	180
668	363	180
669	364	179
670	364	178
671	365	178
672	366	178
673	366	177
674	367	176
675	367	176
676	368	175
677	368	175
678	369	174
679	369	174
680	370	173
681	370	172
682	371	172
683	372	172
684	372	171
685	373	170
686	373	170
687	374	169
688	374	169
689	375	168
690	375	168
691	376	167
692	376	166
693	377	166
694	378	165
695	378	165
696	378	164
697	379	164
698	379	163
699	380	162
700	380	162
701	380	161
702	381	161
703	381	160
704	382	159
705	382	159
706	382	158
707	383	158
708	383	157
709	384	156
710	384	156
711	385	155
712	385	155
713	386	154
714	387	154
715	387	153
716	388	153
717	388	152
718	389	152
719	390	151
720	391	151
721	391	150
722	391	150
723	392	149
724	392	149
725	393	148
726	393	147
727	394	147
728	394	146
729	395	146
730	395	145
731	396	145
732	396	144
733	396	143
734	397	143
735	397	142
736	398	142
737	398	141
738	399	140
739	399	140
740	399	139
741	400	139
742	401	138
743	402	138
744	403	137
745	403	137
746	403	136
747	404	136
748	404	135
749	405	135
750	405	134
751	406	133
752	406	133
753	407	132
754	407	132
755	408	131
756	408	131
757	408	130
758	409	129
759	409	129
760	410	128
761	410	128
762	410	127
763	411	127
764	411	126
765	412	125
766	412	125
767	413	124
768	413	124
769	413	123
770	414	123
771	414	122
772	415	121
773	415	121
774	416	120
775	416	120
776	417	119
777	417	119
778	418	118
779	418	118
780	419	117
781	419	116
782	419	116
783	420	115
784	420	115
785	421	114
786	421	114
787	421	113
788	422	112
789	422	112
790	423	111
791	423	111
792	424	110
793	424	110
794	425	109
795	425	109
796	425	108
797	426	107
798	426	107
799	427	106
800	427	106
801	428	105
802	428	105
803	428	104
804	430	104
805	430	103
806	431	103
807	431	102
808	432	102
809	432	101
810	433	100
811	433	100
812	434	99
813	435	99
814	435	98
815	436	98
816	436	97
817	437	97
818	437	96
819	438	96
820	439	95
821	440	95
822	441	94
823	441	94
824	441	93
825	442	93
826	442	92
827	443	92
828	444	91
829	445	91
830	445	90
831	445	90
832	446	89
833	447	89
834	447	88
835	448	87
836	450	87
837	450	87
838	452	86
839	452	86
840	453	85
841	453	85
842	454	84
843	457	84
844	457	84
845	462	84
846	463	83
847	464	83
848	465	82
849	465	82
850	466	81
851	466	81
852	467	80
853	467	79
854	468	79
855	468	78
856	468	78
857	469	77
858	469	77
859	470	76
860	470	75
861	471	75
862	471	74
863	473	74
864	473	73
865	474	73
866	474	72
867	474	72
868	475	71
869	476	71
870	476	70
871	477	70
872	477	69
873	479	69
874	480	68
875	480	68
876	480	67
877	481	66
878	482	66
879	482	65
880	483	65
881	484	64
882	484	64
883	485	63
884	485	63
885	486	62
886	486	62
887	487	61
888	487	60
889	488	60
890	488	59
891	489	59
892	489	58
893	490	58
894	490	57
895	491	57
896	492	56
897	492	55
898	493	55
899	494	54
900	494	54
901	494	53
902	495	53
903	496	52
904	496	52
905	497	51
906	497	51
907	497	50
908	498	49
909	498	49
910	499	48
911	499	48
912	499	47
913	500	47
914	500	46
915	501	45
916	501	45
917	502	44
918	502	44
919	502	43
920	503	43
921	503	42
922	504	42
923	504	41
924	505	40
925	505	40
926	506	39
927	506	39
928	506	38
929	507	38
930	507	37
931	508	37
932	508	36
933	509	35
934	509	35
935	510	34
